,Year,Month,Day,Cluster,Rainfall
1910,1999,2,20,3,0
1911,1999,2,21,3,0
1912,1999,2,22,3,0
1913,1999,2,23,3,0
1914,1999,2,24,3,0
1915,1999,2,25,3,0
1916,1999,2,26,3,0
1917,1999,2,27,3,0
1918,1999,2,28,3,0
1919,1999,2,29,3,0
1920,1999,2,30,3,0
1921,1999,2,31,3,0
1937,1999,3,16,3,0
1938,1999,3,17,3,0
1939,1999,3,18,3,0
1940,1999,3,19,3,0
1941,1999,3,20,3,0
1942,1999,3,21,3,0
1943,1999,3,22,3,0
1944,1999,3,23,3,0
1945,1999,3,24,3,0
1946,1999,3,25,3,0
1947,1999,3,26,3,0
1948,1999,3,27,3,26
1949,1999,3,28,3,0
1950,1999,3,29,3,0
1951,1999,3,30,3,0
1952,1999,3,31,3,0
1968,1999,4,16,3,0
1969,1999,4,17,3,0
1970,1999,4,18,3,0
1971,1999,4,19,3,0
1972,1999,4,20,3,0
1973,1999,4,21,3,1
1974,1999,4,22,3,0
1975,1999,4,23,3,0
1976,1999,4,24,3,0
1977,1999,4,25,3,0
1978,1999,4,26,3,0
1979,1999,4,27,3,0
1980,1999,4,28,3,0
1981,1999,4,29,3,0
1982,1999,4,30,3,0
1983,1999,4,31,3,0
1999,1999,5,16,3,16
2000,1999,5,17,3,2
2001,1999,5,18,3,0
2002,1999,5,19,3,0
2003,1999,5,20,3,18
